STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
25,001,010100,2942,+42.054276,-070.185650
25,001,010206,2750,+41.924623,-070.015741
25,001,010208,2003,+42.017443,-070.073007
25,001,010304,2421,+41.821628,-069.983981
25,001,010306,2535,+41.857969,-069.985517
25,001,010400,2999,+41.773551,-069.996026
25,001,010500,2891,+41.784614,-069.965807
25,001,010600,2973,+41.698063,-069.974069
25,001,010700,3152,+41.682155,-069.999031
25,001,010800,4878,+41.746091,-070.097790
25,001,010900,4942,+41.750112,-070.041575
25,001,011002,4157,+41.688337,-070.102783
25,001,011100,4694,+41.710933,-070.039777
25,001,011200,3392,+41.680430,-070.058482
25,001,011300,2600,+41.731940,-070.192643
25,001,011400,2991,+41.732102,-070.157866
25,001,011500,4029,+41.699842,-070.159252
25,001,011600,2710,+41.665522,-070.132242
25,001,011700,1877,+41.666148,-070.163013
25,001,011801,2403,+41.714765,-070.221323
25,001,011802,4255,+41.701341,-070.212827
25,001,012001,5732,+41.679346,-070.193972
25,001,012002,3007,+41.657577,-070.204284
25,001,012101,5339,+41.667373,-070.233581
25,001,012102,3057,+41.649965,-070.248603
25,001,012200,5046,+41.702319,-070.332633
25,001,012502,3080,+41.643233,-070.295251
25,001,012601,2877,+41.663921,-070.317691
25,001,012602,4915,+41.656472,-070.300505
25,001,012700,4562,+41.647822,-070.338174
25,001,012800,3923,+41.673339,-070.347282
25,001,012900,4135,+41.663240,-070.370156
25,001,013002,2899,+41.635819,-070.384619
25,001,013100,5935,+41.673253,-070.412940
25,001,013200,4783,+41.638173,-070.437418
25,001,013300,3218,+41.759673,-070.501535
25,001,013400,4163,+41.736389,-070.437925
25,001,013500,6940,+41.693651,-070.455281
25,001,013600,6334,+41.694895,-070.499074
25,001,013700,4911,+41.753481,-070.608439
25,001,013800,4840,+41.785851,-070.538436
25,001,013900,4831,+41.725218,-070.602847
25,001,014002,4053,+41.688588,-070.606496
25,001,014100,1141,+41.666188,-070.573707
25,001,014300,4384,+41.631090,-070.625442
25,001,014402,6947,+41.600872,-070.591200
25,001,014500,5395,+41.594091,-070.533697
25,001,014600,4130,+41.578441,-070.557339
25,001,014700,3690,+41.566973,-070.581798
25,001,014800,3387,+41.555061,-070.606155
25,001,014900,3598,+41.550268,-070.636796
25,001,015001,4417,+41.652908,-070.470470
25,001,015002,3713,+41.629308,-070.509063
25,001,015100,3809,+41.613033,-070.484782
25,001,015200,2065,+41.575732,-070.486188
25,001,015300,3038,+41.657943,-070.285526
25,001,990000,0,+41.796988,-070.212541
25,003,900100,3389,+42.452930,-073.252228
25,003,900200,4449,+42.456091,-073.240563
25,003,900300,2903,+42.465796,-073.241067
25,003,900400,4862,+42.479721,-073.252206
25,003,900500,3288,+42.455252,-073.287743
25,003,900600,4117,+42.454409,-073.262193
25,003,900700,2910,+42.437191,-073.290857
25,003,900800,4835,+42.428366,-073.232362
25,003,900900,5134,+42.440322,-073.251068
25,003,901100,3729,+42.470211,-073.212924
25,003,911100,3091,+42.516496,-073.235836
25,003,912100,6756,+42.472293,-073.162945
25,003,913100,5025,+42.364631,-073.269707
25,003,914100,5943,+42.305227,-073.248731
25,003,920101,4638,+42.719508,-073.198741
25,003,920102,3116,+42.693010,-073.211467
25,003,921300,5118,+42.695013,-073.097582
25,003,921400,1699,+42.680746,-073.103688
25,003,921500,3100,+42.697164,-073.151127
25,003,922100,2680,+42.621411,-073.119331
25,003,922200,3689,+42.632473,-073.111717
25,003,922300,2116,+42.609912,-073.124410
25,003,923100,3235,+42.562048,-073.154399
25,003,924100,1947,+42.296971,-073.322124
25,003,925100,7104,+42.211355,-073.362386
25,003,926100,3257,+42.094324,-073.345999
25,003,931100,1702,+42.719840,-073.092081
25,003,931300,1444,+42.631053,-073.023596
25,003,931400,1746,+42.473598,-073.046163
25,003,932200,2317,+42.299980,-073.085767
25,003,932300,2032,+42.438268,-073.113493
25,003,933200,1288,+42.199479,-073.221624
25,003,933300,1509,+42.106503,-073.260099
25,003,933400,2527,+42.162972,-073.096816
25,003,934200,1306,+42.319087,-073.379731
25,003,934300,1886,+42.183325,-073.433707
25,003,935100,2420,+42.455203,-073.331546
25,003,935200,5121,+42.444173,-073.214920
25,003,935300,3791,+42.705141,-073.110665
25,005,600100,3920,+42.058016,-071.103199
25,005,600202,4481,+42.027758,-071.079068
25,005,600203,5611,+42.042200,-071.132475
25,005,600204,3895,+42.012235,-071.128704
25,005,610100,5103,+42.030653,-071.219741
25,005,610202,5586,+42.004395,-071.254921
25,005,610203,6883,+42.016241,-071.193785
25,005,610204,5612,+42.039730,-071.183098
